rodzina,family
matka,mother
ojciec,father
rodzice,parents
syn,son
córka,daughter
siostra,sister
brat,brother
rodzeństwo,siblings
kuzyn,cousin (m)
kuzynka,cousin (f)
dziadkowie,grandparents
babcia,grandmother
dziadek,grandfather
wnuki,grandchildren
wnuczka,granddaughter
wnuk,grandson
mąż,husband
żona,wife
para,couple
jedynak,only child (m)
jedynaczka,only child (m)
bliźniaki,twins
dzieci,children
narzeczona,fiancée
narzeczony,fiancé
wdowa,widow
wdowiec,widower
żonaty,married (m)
zamężna,married (f)
wolny,single (m)
wolna,single (f)
zaręczony,engaged (m)
zaręczony,engaged (f)
rozwiedziony,divorced (m)
rozwiedziona,divorced (f)
krewny,relative (m)
krewna,relative (f)
teść,father-in-law
teściowa,mother-in-law
ojciem,stepfather
macocha,stepmother
wujek,uncle
ciocia,aunt
szwagier,brother-in-law
szwagierka,sister-in-law
przyrodni brat,stepbrother
przyrodnia siostra,stepsister
bratanek,nephew (brother's son)
siostrzeniec,nephew (sister's son)
bratanica,niece (brother's daughter)
siostrzenica,niece (sister's daughter)